epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39639,1.3358,2.4739,1.64573,0.19321,0.53333,0.24021,0.08102,2.02854,6.55651,3.92648,0.00032,0.00032,0.00032
2,13.7479,1.48909,2.06818,1.70542,0.08433,0.26667,0.07044,0.01527,2.98729,15.989,5.32779,0.000653466,0.000653466,0.000653466
3,19.9965,1.77482,2.3622,1.97456,0.00028,0.06667,0.00014,4e-05,nan,nan,nan,0.0009802,0.0009802,0.0009802
4,26.102,1.87263,2.42096,2.02948,0.00073,0.06667,0.00053,0.00013,4.49078,inf,728.872,0.0013002,0.0013002,0.0013002
5,32.1031,1.92808,2.40685,2.04762,0,0,0,0,nan,nan,nan,0.00161347,0.00161347,0.00161347
6,38.0195,1.99022,2.46695,2.11344,0,0,0,0,nan,nan,nan,0.001901,0.001901,0.001901
7,43.9675,2.03685,2.48096,2.11419,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,50.0522,2.04066,2.47179,2.10749,0.04177,0.13333,0.00935,0.00181,3.09309,15.1757,3.62816,0.0018614,0.0018614,0.0018614
9,56.1472,1.94164,2.47081,2.06452,0.01298,0.26667,0.00553,0.00185,3.57278,179.863,9.46384,0.0018416,0.0018416,0.0018416
10,62.0751,1.88884,2.36123,1.98113,0.02776,0.33333,0.01184,0.00186,3.90919,15.069,6.00615,0.0018218,0.0018218,0.0018218
11,68.0167,1.93647,2.3557,2.05293,0.15487,0.13333,0.04775,0.01249,3.80541,5.10682,5.00036,0.001802,0.001802,0.001802
12,73.9841,1.90957,2.29172,1.99043,0.04457,0.6,0.03959,0.01188,2.84319,5.84468,3.87281,0.0017822,0.0017822,0.0017822
13,80.1141,1.82866,2.21475,1.95237,0.16517,0.53333,0.13254,0.04093,2.43108,5.07502,3.25367,0.0017624,0.0017624,0.0017624
14,86.1988,1.79406,2.20426,1.91515,0.16243,0.46667,0.13188,0.03419,2.10916,5.4895,2.70128,0.0017426,0.0017426,0.0017426
15,92.1512,1.78379,2.17241,1.93886,0.13314,0.2,0.07727,0.02873,2.40524,4.23217,2.84493,0.0017228,0.0017228,0.0017228
16,98.118,1.72518,2.15613,1.87263,0.19446,0.4,0.17509,0.06914,2.1399,4.05687,2.82245,0.001703,0.001703,0.001703
17,104.094,1.66732,2.09668,1.82776,0.03048,0.6,0.03383,0.01178,2.23789,70.6009,2.94354,0.0016832,0.0016832,0.0016832
18,110.125,1.65236,2.0849,1.82733,0.39822,0.4421,0.34288,0.11122,2.41986,2.46921,3.33894,0.0016634,0.0016634,0.0016634
19,116.364,1.6071,2.04878,1.77294,0.19018,0.46667,0.23949,0.06955,2.12299,2.54251,2.88459,0.0016436,0.0016436,0.0016436
20,122.43,1.58542,2.04623,1.77311,0.43246,0.4,0.41223,0.1048,2.62474,2.20322,3.34487,0.0016238,0.0016238,0.0016238
21,128.347,1.56935,2.01207,1.76793,0.59739,0.4,0.47784,0.24908,2.09966,1.85219,2.75716,0.001604,0.001604,0.001604
22,134.475,1.52173,1.94016,1.73904,0.3447,0.33333,0.38406,0.15481,2.0581,2.22215,2.61225,0.0015842,0.0015842,0.0015842
23,140.45,1.52576,1.91001,1.73499,0.17847,0.53333,0.1406,0.04879,1.98042,3.32818,2.49329,0.0015644,0.0015644,0.0015644
24,146.545,1.50284,1.88177,1.70972,0.532,0.26667,0.40296,0.1618,2.13724,2.17919,2.72749,0.0015446,0.0015446,0.0015446
25,152.535,1.47007,1.88564,1.69102,0.45385,0.6,0.58032,0.19963,1.99694,2.27035,2.66688,0.0015248,0.0015248,0.0015248
26,158.477,1.46917,1.89228,1.7047,0.38867,0.46667,0.3084,0.12697,2.10484,2.24446,2.87005,0.001505,0.001505,0.001505
27,164.66,1.41267,1.80215,1.66783,0.2496,0.46667,0.2636,0.09311,2.42173,2.43068,2.90068,0.0014852,0.0014852,0.0014852
28,170.808,1.402,1.80653,1.62877,0.23243,0.26667,0.22263,0.09796,2.31318,2.34667,2.73929,0.0014654,0.0014654,0.0014654
29,176.765,1.45826,1.82546,1.68226,0.33553,0.26667,0.26381,0.11461,1.95158,2.21427,2.35815,0.0014456,0.0014456,0.0014456
30,182.733,1.49721,1.93313,1.68764,0.30499,0.46667,0.30956,0.10247,2.21738,2.05663,2.5575,0.0014258,0.0014258,0.0014258
31,188.701,1.41,1.79808,1.62115,0.2906,0.53333,0.3219,0.08647,2.23527,2.56878,2.66806,0.001406,0.001406,0.001406
32,194.728,1.34943,1.72368,1.58403,0.28262,0.65686,0.25624,0.06797,2.04795,2.4057,2.46228,0.0013862,0.0013862,0.0013862
33,200.729,1.32728,1.73348,1.57608,0.46057,0.46667,0.37341,0.16932,1.86809,2.0527,2.26875,0.0013664,0.0013664,0.0013664
34,206.701,1.3414,1.71791,1.583,0.6759,0.4,0.44411,0.18606,2.10402,2.09378,2.42995,0.0013466,0.0013466,0.0013466
35,212.706,1.32208,1.66147,1.58063,0.61217,0.33333,0.41681,0.15394,2.10799,2.19372,2.46601,0.0013268,0.0013268,0.0013268
36,218.766,1.30723,1.6028,1.55506,0.59623,0.59121,0.48052,0.16018,1.95062,1.78656,2.64765,0.001307,0.001307,0.001307
37,224.79,1.27143,1.62249,1.57603,0.48309,0.6,0.43639,0.19979,1.97968,1.64009,2.70174,0.0012872,0.0012872,0.0012872
38,230.834,1.2392,1.5401,1.50078,0.44825,0.6,0.45144,0.17921,2.06439,1.71524,2.58255,0.0012674,0.0012674,0.0012674
39,236.865,1.22042,1.55029,1.50255,0.37441,0.6,0.35872,0.20434,1.73038,1.93868,2.10632,0.0012476,0.0012476,0.0012476
40,242.918,1.17777,1.48636,1.49666,0.44679,0.46667,0.42701,0.18116,1.71415,1.81768,2.08964,0.0012278,0.0012278,0.0012278
41,248.917,1.22533,1.55053,1.52305,0.27609,0.6,0.29878,0.17375,1.81803,2.10492,2.09746,0.001208,0.001208,0.001208
