epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.66104,1.3367,2.47703,1.68003,0.65904,0.51656,0.50707,0.19398,1.83776,4.82332,2.96037,0.00052,0.00052,0.00052
2,15.8016,1.6585,2.32672,1.93022,0.01536,0.66667,0.01255,0.00393,2.44117,517.889,17.6764,0.00104951,0.00104951,0.00104951
3,22.5622,1.95136,2.52061,2.18679,0.0062,0.8,0.00744,0.00153,3.16482,inf,201.07,0.00156832,0.00156832,0.00156832
4,29.1987,2.08517,2.64272,2.26139,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,35.8547,2.20793,2.67138,2.33884,0,0,0,0,6.72746,inf,123.96,0.0019208,0.0019208,0.0019208
6,42.5846,2.07274,2.58923,2.23119,0.01142,0.86667,0.01164,0.00439,2.93785,inf,161.019,0.001901,0.001901,0.001901
7,49.5053,1.9891,2.54543,2.16259,0.00089,0.13333,0.00042,0.00012,4.47135,inf,82.154,0.0018812,0.0018812,0.0018812
8,56.4033,2.03126,2.53526,2.12965,0.00326,0.13333,0.00121,0.00043,4.26394,337.098,11.3489,0.0018614,0.0018614,0.0018614
9,63.094,1.92625,2.46368,2.08543,0.04297,0.2,0.01581,0.00368,3.44789,7.54686,6.0585,0.0018416,0.0018416,0.0018416
10,69.8243,1.92547,2.44802,2.0667,0.2988,0.06667,0.03119,0.00359,4.05425,5.23607,6.12049,0.0018218,0.0018218,0.0018218
11,76.7458,1.89382,2.42656,2.06248,0.01771,0.06667,0.01916,0.00354,3.45758,3.52815,4.22141,0.001802,0.001802,0.001802
12,83.3542,1.85867,2.40203,2.01939,0.02218,0.6,0.01979,0.0067,2.36067,10.4286,2.96878,0.0017822,0.0017822,0.0017822
13,89.9685,1.77477,2.38735,2.02109,0.34449,0.6,0.24409,0.08481,2.2172,2.54183,3.1234,0.0017624,0.0017624,0.0017624
14,96.6374,1.75273,2.35574,1.98261,0.14412,0.26667,0.16626,0.05073,2.25925,3.03195,2.95767,0.0017426,0.0017426,0.0017426
15,103.253,1.8454,2.33115,2.02995,0.22626,0.27323,0.16281,0.05083,2.63227,2.66253,2.90993,0.0017228,0.0017228,0.0017228
16,109.902,1.76925,2.24541,1.95439,0.33786,0.46667,0.3095,0.10322,1.84455,2.21822,2.39642,0.001703,0.001703,0.001703
17,116.551,1.7121,2.18596,1.90826,0.1889,0.26667,0.12033,0.03562,2.48559,3.19353,2.94262,0.0016832,0.0016832,0.0016832
18,123.223,1.74376,2.2023,1.92695,0.25406,0.26667,0.18474,0.07345,2.17964,2.27165,2.55779,0.0016634,0.0016634,0.0016634
19,129.929,1.70177,2.14177,1.91086,0.68923,0.4,0.50791,0.23306,2.04762,2.02786,2.51743,0.0016436,0.0016436,0.0016436
20,138.449,1.69606,2.20293,1.91761,0.23485,0.33333,0.19505,0.06774,2.20974,2.80151,2.63663,0.0016238,0.0016238,0.0016238
