epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.777,0.70201,1.76789,1.14552,0.79498,0.7209,0.8229,0.72141,0.48551,0.81455,0.92749,0.00332943,0.00332943,0.00332943
2,550.27,0.70152,1.20569,1.11986,0.75769,0.7083,0.79313,0.65461,0.61447,0.94657,1.02315,0.0065968,0.0065968,0.0065968
3,820.794,0.83371,1.40599,1.20298,0.65589,0.60087,0.6531,0.50689,0.79388,1.37313,1.16801,0.00979817,0.00979817,0.00979817
4,1091.35,0.93565,1.58632,1.27191,0.74529,0.65855,0.7509,0.60551,0.72971,1.11993,1.12478,0.009703,0.009703,0.009703
5,1359.83,0.89165,1.43834,1.24726,0.78636,0.69786,0.79395,0.65695,0.65712,0.93628,1.05589,0.009604,0.009604,0.009604
6,1628.28,0.83552,1.3065,1.20302,0.83736,0.75019,0.8465,0.71261,0.5884,0.81174,1.00322,0.009505,0.009505,0.009505
7,1897.33,0.78931,1.19032,1.1763,0.85869,0.78558,0.87709,0.74177,0.58284,0.74228,0.99822,0.009406,0.009406,0.009406
8,2164.67,0.77174,1.1359,1.16649,0.86527,0.78685,0.88852,0.75909,0.56089,0.67644,0.97841,0.009307,0.009307,0.009307
9,2433.2,0.74733,1.0784,1.14921,0.87364,0.79187,0.88949,0.75917,0.55495,0.66,0.98379,0.009208,0.009208,0.009208
10,2697.91,0.72762,1.02412,1.14115,0.87426,0.81893,0.90876,0.7918,0.53243,0.61712,0.9678,0.009109,0.009109,0.009109
11,2967.2,0.7119,0.97853,1.13,0.87209,0.811,0.89737,0.77855,0.52492,0.63027,0.96745,0.00901,0.00901,0.00901
12,3235.96,0.70225,0.94566,1.12679,0.90531,0.8258,0.91682,0.8071,0.50994,0.55054,0.9563,0.008911,0.008911,0.008911
13,3505.33,0.69031,0.90844,1.11158,0.88764,0.84782,0.92142,0.8112,0.49781,0.54192,0.9431,0.008812,0.008812,0.008812
14,3773.88,0.67702,0.87375,1.1106,0.88248,0.85774,0.92083,0.81509,0.48541,0.52731,0.94503,0.008713,0.008713,0.008713
15,4043.86,0.66758,0.84953,1.10436,0.91093,0.85015,0.92945,0.8284,0.47433,0.503,0.92535,0.008614,0.008614,0.008614
16,4310.12,0.65264,0.81745,1.09142,0.89092,0.8642,0.93012,0.82624,0.48369,0.50538,0.94262,0.008515,0.008515,0.008515
17,4566.68,0.64367,0.79451,1.0856,0.90269,0.85305,0.92883,0.82682,0.4776,0.50183,0.93645,0.008416,0.008416,0.008416
